hour amb tz_v3 tz_v35 tz_hy ts_v3 ts_v35 ts_hy p_v3 p_v35 p_hy
33.25 -6.475000000000023 21.85607102840055 18.787145740264975 22.474070652476655 23.890447214245796 18.0 25.813228715211153 1.0322652562443848 0.3185793874156483 1.108104091801963
33.5 -6.399999999999977 21.831142184349744 26.365948496985936 22.457411683018336 23.919440925121307 35.0 25.928916674107313 1.0427762718313287 2.802801266941084 1.11992770984844
33.75 -6.324999999999989 21.788533315166205 18.739047525960586 22.415031852016966 23.931830540299416 18.0 26.002898229286075 1.0526140051321462 0.309696772097098 1.1285434450712943
34.0 -6.25 21.776384514384688 26.295803353318547 22.401889975871768 23.99782894551754 35.0 26.1462974678725 1.0739136450976305 2.8464004054777265 1.1501470116222816
34.25 -6.175000000000011 21.771827372134 18.69416036106486 22.403115086965386 24.058520302176476 18.0 26.276903109624982 1.090748981171325 0.3014030397547654 1.1703193150402014
34.5 -6.100000000000023 21.772498508035255 26.159213575806916 22.412208493428125 24.1105770021677 35.0 26.384558394551277 1.1028534159602255 2.8329890393627952 1.186391814376079
34.75 -6.064999999999998 21.798168650970354 18.66386435676918 22.437921998026354 24.205917179584503 18.0 26.524671126157045 1.120001927460614 0.2958054529360315 1.2047197356269537
35.0 -6.089999999999975 21.796196071230156 26.19513149900058 22.44946959979012 24.234583601355553 35.0 26.592063803225756 1.1261535609830757 2.8857035340432713 1.2160350804166717
35.25 -6.144999999999982 21.7951552997809 18.638257183159453 22.456421165414724 24.26847068965435 18.0 26.643140345811844 1.133973890388539 0.29107194159593164 1.226539855349284
35.5 -6.199999999999989 21.792001274845802 26.12965424442382 22.462571104500626 24.29877381026745 35.0 26.687392327934504 1.1414774077110674 2.8836828926775224 1.2373512867234617
35.75 -6.246015624999984 21.838172008604886 18.609977436671386 22.499432062898165 24.41974513232708 18.0 26.790141854435205 1.1681531474219078 0.2858429186724517 1.2610286447566343
36.0 -6.294375000000002 21.831675447783653 26.118654574376194 22.510690092483117 24.433049991726875 35.0 26.806557163596153 1.173192932509628 2.909957436153531 1.2731277677872979
36.25 -6.345546875000025 21.83683319487119 18.58270142002624 22.51747620874761 24.477324455976486 18.0 26.829122126102448 1.1845342083239976 0.2807987046824277 1.2845998042841973
36.5 -6.399999999999977 21.83469507949559 26.07613124256426 22.522372473420546 24.509924679994583 35.0 26.8566340431571 1.1942620735563017 2.92318554912958 1.2968580084736379
36.75 -6.459765624999989 21.901997405804764 18.551822981959106 22.569634654352228 24.67945258319378 18.0 26.980731584131718 1.2331011293109668 0.2750877104951826 1.3286407964902727
37.0 -6.528124999999989 21.89279367986404 26.078574208275654 22.578197320803497 24.688776522874832 35.0 26.979596078395844 1.239905046282902 2.964387882406027 1.3430117213750756
37.25 -6.607421875 21.907902435373444 18.521627079301652 22.58298477040256 24.754903614521027 18.0 26.994314208626747 1.2570991366611164 0.26950232357075826 1.355681207288686
37.5 -6.699999999999989 21.916999082043105 26.059824424046383 22.593562957997392 24.7951657474041 35.0 27.01555595546961 1.2660500496582665 2.9857351322742494 1.365612717401221
37.75 -6.8125 22.03127316200039 18.505371370619514 22.683947774259423 25.03001607209444 18.0 27.20770961791277 1.3110719672889755 0.2664941484645669 1.4027462251594254
38.0 -6.949999999999989 22.032990115557823 26.130348182002194 22.70743553826958 25.006944850087166 35.0 27.153323136270046 1.3024825111235914 3.021805902163359 1.4035406143212321
38.25 -7.112500000000011 22.07155508174486 18.502512037312272 22.717715923146784 25.074944481253624 18.0 27.11881034821272 1.3117708093704312 0.2659629356999017 1.4001686577061982
38.5 -7.300000000000011 22.0881263258363 26.170585065922012 22.723301267889326 25.104047119617462 35.0 27.1040952578187 1.313336922545808 3.0352380897728035 1.397605421856854
38.75 -7.5 22.24394104647604 18.495116634634826 22.820729035265288 25.435679391026497 18.0 27.339788883924484 1.3759018332753803 0.26459300381886774 1.4383943314347865
39.0 -7.699999999999989 22.23603099713904 26.19152570985068 22.823995160256118 25.412960790097713 35.0 27.27802611142397 1.3720471941264047 3.0558103160153354 1.4412845420762865
39.25 -7.899999999999977 22.282639420853798 18.472190265298025 22.811078925988795 25.54563193768263 18.0 27.268384762108326 1.402734465944383 0.26035192556857756 1.4475090105088824
39.5 -8.100000000000023 22.288618025483743 26.172714509999537 22.792393996125497 25.615549009293318 35.0 27.297083608806133 1.423082599712076 3.0930921700304084 1.4602006554027993
39.75 -8.300000000000011 22.438059511821564 18.426627012189613 22.868361446523636 26.0110119972378 18.0 27.58791556954384 1.512022977926129 0.25192474949938964 1.5216663011764673
40.0 -8.5 22.4141570440392 26.10717912678166 22.85090480586723 26.03036499209702 35.0 27.585145138204098 1.529470525003198 3.1434309795616797 1.546377843194237
40.25 -8.699999999999989 22.44554976882813 18.360655604242993 22.820766347024005 26.207018399611115 18.0 27.634118303656578 1.5803597136068859 0.23972404140725506 1.5729915525170937
40.5 -8.899999999999977 22.42600617413143 26.00376700586179 22.782235137036935 26.30185380578041 35.0 27.716404028236866 1.61675549995107 3.208031340832536 1.6052671892985262
40.75 -9.118749999999977 22.555404744814098 18.267809967531548 22.853519320830742 26.76015443354845 18.0 28.11834443360567 1.7307623632707214 0.2225553807527721 1.6978728560516938
41.0 -9.366666666666674 22.51111498949632 25.8556917371979 22.83490936485134 26.813146453350782 35.0 28.174499593675137 1.7614017733000924 3.286575192150254 1.7457373128830551
41.25 -9.631250000000023 22.51480081787406 18.173191541256926 22.80681520372616 26.994814325124025 18.0 28.249288700520992 1.8106384200377363 0.20505928964388662 1.7838135720973096
41.5 -9.899999999999977 22.47590343102172 25.733946685562273 22.780613056804782 27.08247473463416 35.0 28.337684370577335 1.8332300336905571 3.3555352127442535 1.816656133056731
41.75 -10.170019531249977 21.939823541076635 17.64357392806471 22.231832226959625 27.38333296403289 18.0 28.722074657678604 2.1119665898571727 0.3930043205368169 2.0900712514345705
42.0 -10.445052083333337 22.211515113843575 24.951981034534413 22.420495134618022 28.50696161389351 35.0 29.53517073392868 2.325854166421005 3.6105147794893115 2.2756370467090634
42.25 -10.722558593750023 22.1114551254542 17.505412115842717 22.450224012790272 28.378973081707954 18.0 29.377007007598877 2.3356745144296296 0.4779834352131652 2.3533665421764924
42.5 -11.0 22.090174670334875 24.92991758201356 22.399908839827788 28.550487264990807 35.0 29.157317996025085 2.3795839905804246 3.773365060573587 2.3847910813151283
42.75 -11.310253906250011 22.114083877448707 17.40214948171689 22.451318970237423 28.80188861489296 18.0 29.33696222305298 2.438783553244812 0.5414564241443459 2.4594666409112658
43.0 -11.650781250000023 22.065723892496635 24.897180860887488 22.42701840890288 28.841520234942436 35.0 29.211407840251923 2.460430559519792 3.8936923643127432 2.494588414778397
43.25 -11.965917968749977 22.02363079420917 17.30878198192289 22.386134459920015 28.906161606311798 18.0 29.101315081119537 2.4834367709247913 0.5988371037479546 2.5195090847855752
43.5 -12.199999999999989 21.98830789801235 24.875839822373734 22.351362194766352 28.952668324112892 35.0 29.02269071340561 2.504878977094579 3.9968061627242815 2.542702576712142
43.75 -12.256250000000023 21.945883135632187 17.233671570497677 22.294034996351115 28.919605031609535 18.0 28.86660674214363 2.517486418542789 0.6449754667210837 2.5498094652498393
44.0 -12.149999999999977 21.936544045876417 24.82496697446237 22.276489130311802 28.958444520831108 35.0 28.834275543689728 2.5380067024828787 4.052491918662556 2.5681459463259566
44.25 -11.993749999999977 21.938847678428942 17.18436935984107 22.27121488292488 28.987623155117035 18.0 28.80331176519394 2.5583609229355413 0.6752320047318335 2.5866952077674794
44.5 -11.899999999999977 21.94549125123433 24.809319194312877 22.26696640701192 29.01366999745369 35.0 28.765319377183914 2.57973580947093 4.1074211818905795 2.6048641426067705
44.75 -11.875 21.958682499220856 17.138739384961298 22.247072845504135 29.067546546459198 18.0 28.71751642227173 2.6060504054084763 0.7032461976591268 2.6174768691191623
45.0 -11.850000000000023 21.966378766615435 24.769010204555286 22.23530654162664 29.088699758052826 35.0 28.671350926160812 2.6298357191031116 4.1525602040561935 2.6354082860481953
45.25 -11.824999999999989 21.972346676734446 17.090810650675166 22.224760722162728 29.11004777252674 18.0 28.6166919991374 2.652716728918301 0.7326885909602321 2.654118361206567
45.5 -11.800000000000011 21.977285359826908 24.713382872566626 22.214424869118375 29.132683411240578 35.0 28.560019053518772 2.6751894976880286 4.189940548180077 2.6731317581946645
45.75 -11.756250000000023 21.983922486157667 17.045559570941407 22.188591799540916 29.171193584799767 18.0 28.49470081180334 2.6977582665456454 0.7604939682864512 2.683597871468534
46.0 -11.699999999999989 21.989936394253277 24.63912392321697 22.178181920623786 29.197799250483513 35.0 28.452460758388042 2.718418356055607 4.214928130319902 2.7008545600302574
46.25 -11.668749999999989 21.99477933978443 17.003810650806884 22.169223085916485 29.2247496843338 18.0 28.401681549847126 2.737953782178558 0.7861533109194996 2.7182857534002247
46.5 -11.699999999999989 21.997116342239792 24.56073531591261 22.158566247147235 29.25354504585266 35.0 28.348549000918865 2.7578016751257945 4.236829119806811 2.7364512500288867
46.75 -11.774999999999977 22.02030870699167 16.955331567113603 22.166085492731156 29.351923540234566 18.0 28.374505661427975 2.790291686898105 0.8159623877054056 2.7649717312807867
47.0 -11.850000000000023 22.022743901915305 24.46160786035159 22.15088648997653 29.388408422470093 35.0 28.308313719928265 2.8123457924114565 4.254953341693959 2.783569016514687
47.25 -11.925000000000011 22.023069283322457 16.90293285948451 22.138184210075224 29.429144769906998 18.0 28.256373547017574 2.8337736363826065 0.8481862913033206 2.8038780963115
47.5 -12.0 22.022950026653803 24.35195538442315 22.1261250744588 29.472344145178795 35.0 28.20696910470724 2.8550996500072494 4.268513236569821 2.824582750250693
47.75 -12.074999999999989 22.027163466800346 16.850762363886474 22.139743734158515 29.584385439753532 18.0 28.245803274214268 2.8775775026898445 0.8802750036909304 2.856431177093828
48.0 -12.149999999999977 22.033960357225396 24.243032074933865 22.129512855142764 29.6483284085989 35.0 28.192635767161846 2.90178782372096 4.282351695741891 2.8767012504832277
48.25 -12.225000000000023 22.03942263838161 16.799858954752153 22.123939621041472 29.708730474114418 18.0 28.15458232909441 2.9240513887100774 0.911586302025805 2.8986378601155556
48.5 -12.300000000000011 22.046550634043854 24.123092996169646 22.119656832658563 29.77290877699852 35.0 28.118050076067448 2.9464200850342177 4.287101446834006 2.920638975286831
48.75 -12.415624999999977 22.067742037258597 16.747813286595317 22.157817275219145 29.930938497185707 18.0 28.207090698182583 2.9777826502039697 0.9435993623517972 2.965092720971377
49.0 -12.574999999999989 22.076364644335 23.995456369407066 22.146564651903248 30.023036941885948 35.0 28.15712211281061 3.009506156304156 4.3008524641813795 2.99191038763382
49.25 -12.721875000000011 22.083197950613908 16.68105382758165 22.139273293118606 30.116805270314217 18.0 28.130542539060116 3.042182143793427 0.984667237019976 3.0232697973367606
49.5 -12.800000000000011 22.094846244717985 23.83534042564702 22.13353631780427 30.21820156276226 35.0 28.107789613306522 3.0771090336560634 4.308933267939227 3.0554186862421995
49.75 -12.799107142857167 22.101348132367832 16.619082766232907 22.122881737900343 30.341964974999428 18.0 28.090736381709576 3.104454323097204 1.0227873132756706 3.080045305457562
50.0 -12.764285714285734 22.136242650233953 23.687018041406418 22.127536306739216 30.465154364705086 35.0 28.093778245151043 3.1442221082283797 4.313866759330144 3.1099065124183842
50.25 -12.722321428571433 22.186264132465737 16.56851409644611 22.136352598360247 30.594303354620934 18.0 28.096003659069538 3.188348259511894 1.0538917149968494 3.139380864329514
50.5 -12.699999999999989 22.257591058102264 23.54769440244047 22.14892360222217 30.73265139758587 35.0 28.099086813628674 3.2391901167344144 4.312710655570671 3.1672371371426102
50.75 -12.697600446428567 22.27809318476784 16.525613276809167 22.15759061629467 31.09169489145279 18.0 28.159300662577152 3.2546488395343367 1.080281947790333 3.186639949295072
51.0 -12.697172619047592 22.409728275818168 23.38771768634996 22.1635148724514 31.281563103199005 35.0 28.163404189050198 3.333864130715969 4.289607931955873 3.2061093309750386
51.25 -12.698158482142844 22.54953102441209 16.484055712183306 22.172355176892722 31.44533735513687 18.0 28.164164401590824 3.4121308680724662 1.105847614556054 3.2274710453144233
51.5 -12.699999999999989 22.691522846425414 23.267228463303923 22.18035250260914 31.59731349349022 35.0 28.162580139935017 3.488883208250954 4.287508050016381 3.248470944434357
51.75 -12.763671875 22.74366964561557 16.44078912679464 22.189815066163987 31.940533876419067 18.0 28.240006558597088 3.5119720384170887 1.1324669217942003 3.2673117572640344
52.0 -12.876041666666652 22.84710826098683 23.11036323228933 22.18351011149508 32.03323218226433 35.0 28.236506439745426 3.572801899884085 4.269064240274416 3.2828342004047335
52.25 -12.925390624999977 22.9028677967313 16.391599895731872 22.17748519332531 32.02859541773796 18.0 28.224234364926815 3.6052727656205867 1.1627299710630041 3.2983094565199935
52.5 -12.800000000000011 22.92934374502272 22.997910773805415 22.17739876551167 31.958977073431015 35.0 28.215152598917484 3.6167621685011437 4.2683804327019645 3.309647901118138
52.75 -12.550000000000011 22.821607245868677 16.365921868722523 22.09056030562533 31.938198268413544 18.0 28.093276672065258 3.54480024170836 1.1785190760051207 3.263998695689554
